trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,STOCK ROAD,MANDALAY,NOLUNGILE,NONKQUBELA,KHAYELITSHA,KUYASA,CHRIS HANI
9918,MONDAYS TO FRIDAYS,inbound,E11,06:36,06:31,06:27,06:21,06:17,06:14,,06:08,,05:59,05:56,05:54,05:49,05:46,05:43,05:39,05:35
9206,MONDAYS TO FRIDAYS,inbound,E11,06:56,06:51,06:47,06:41,06:37,06:34,06:30,06:26,06:22,,06:14,06:12,,,,,
9926,MONDAYS TO FRIDAYS,inbound,E11,07:31,07:26,07:22,07:16,07:12,07:09,,07:02,,06:54,06:51,06:49,06:44,06:41,06:38,06:34,06:30
9992,MONDAYS TO FRIDAYS,inbound,E11,07:40,,,07:28,,,,07:19,07:15,,07:06,07:04,,,06:52,,
9928,MONDAYS TO FRIDAYS,inbound,E11,07:48,07:36,07:32,07:26,07:22,07:19,,,07:14,07:09,07:06,07:04,06:59,06:56,06:53,06:49,06:45
9984,MONDAYS TO FRIDAYS,inbound,E11,07:51,07:46,07:42,07:36,07:32,07:29,,07:23,,07:19,07:16,07:14,07:09,07:06,07:03,06:59,06:55
9214,MONDAYS TO FRIDAYS,inbound,E11,08:24,08:16,08:12,08:06,08:02,07:58,07:55,07:51,07:47,,07:43,07:41,,,,,
9995,MONDAYS TO FRIDAYS,outbound,E11,17:15,,,17:27,,,,17:38,17:41,,17:48,17:52,,,17:58,,
9932,MONDAYS TO FRIDAYS,inbound,E11,08:15,08:12,08:08,08:02,07:58,07:55,07:51,07:47,07:43,,07:35,,07:29,07:26,07:23,07:19,07:15
9920,MONDAYS TO FRIDAYS,inbound,E11,06:48,06:46,06:42,06:36,06:32,06:29,,06:23,,,06:10,,06:04,06:01,05:58,05:54,05:50
9912,MONDAYS TO FRIDAYS,inbound,S11,05:23,05:18,05:14,05:08,05:04,05:01,04:57,04:53,04:49,04:44,04:41,04:39,04:34,04:31,04:28,04:24,04:20
9912,SATURDAYS,inbound,S11,05:44,05:39,05:35,05:29,05:25,05:22,05:18,05:15,05:12,05:07,05:02,05:00,04:55,04:52,04:48,04:44,04:40
9912,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,05:44,05:39,05:35,05:29,05:25,05:22,05:18,05:15,05:12,05:07,05:04,05:02,04:57,04:54,04:48,04:44,04:40
9914,MONDAYS TO FRIDAYS,inbound,S11,06:08,06:03,05:59,05:53,05:49,05:46,05:42,05:38,05:34,05:29,05:26,05:24,05:19,05:16,05:13,05:09,05:05
9914,SATURDAYS,inbound,S11,06:09,06:04,06:00,05:54,05:50,05:47,05:43,05:40,05:37,05:32,05:29,05:27,05:22,05:19,05:15,05:09,05:05
9916,MONDAYS TO FRIDAYS,inbound,S11,06:23,06:18,06:14,06:08,06:04,06:01,05:57,05:53,05:49,05:44,05:41,05:39,05:34,05:31,05:28,05:24,05:20
9914,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,06:24,06:19,06:15,06:09,06:05,06:02,05:58,05:55,05:52,05:47,05:44,05:42,05:37,05:34,05:28,05:24,05:20
9911,MONDAYS TO FRIDAYS,outbound,S11,05:00,05:04,05:08,05:13,05:18,05:22,05:25,05:28,05:32,05:37,05:40,05:43,05:46,05:49,05:53,05:57,06:01
