trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,NDABENI,PINELANDS,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,LENTEGEUR,MITCHELLS PL.,KAPTEINSKLIP
9501,MONDAYS TO FRIDAYS,outbound,S12,05:00,05:03,05:06,05:08,05:11,05:14,05:16,05:21,05:25,05:28,05:31,05:35,05:39,05:45,05:48,05:51
9503,MONDAYS TO FRIDAYS,outbound,S12,05:40,05:43,05:46,05:48,05:51,05:54,05:56,06:01,06:05,06:08,06:11,06:15,06:19,06:25,06:28,06:31
9505,MONDAYS TO FRIDAYS,outbound,S12,06:10,06:13,06:16,06:18,06:21,06:24,06:26,06:31,06:35,06:38,06:41,06:45,06:49,06:55,06:58,07:01
9507,MONDAYS TO FRIDAYS,outbound,S12,06:30,06:33,06:36,06:38,06:41,06:44,06:46,06:45,06:55,06:58,07:01,07:05,07:09,07:15,07:18,07:21
9509,MONDAYS TO FRIDAYS,outbound,S12,06:52,06:55,06:58,07:00,07:03,07:06,07:08,07:13,07:17,07:20,07:23,07:27,07:31,07:37,07:40,07:43
9511,MONDAYS TO FRIDAYS,outbound,S12,07:22,07:25,07:28,07:30,07:33,07:36,07:38,07:43,07:47,07:50,07:53,07:57,08:01,08:07,08:10,08:13
9513,MONDAYS TO FRIDAYS,outbound,S12,07:52,07:55,07:58,08:00,08:03,08:06,08:08,08:13,08:17,08:20,08:23,08:27,08:31,08:37,08:40,08:43
9515,MONDAYS TO FRIDAYS,outbound,S12,08:15,08:18,08:21,08:23,08:26,08:29,08:31,08:36,08:40,08:43,08:46,08:50,08:54,08:59,09:03,09:06
9517,MONDAYS TO FRIDAYS,outbound,S12,08:35,08:38,08:41,08:43,08:46,08:49,08:51,08:56,09:00,09:03,09:06,09:10,09:14,09:19,09:23,09:26
9519,MONDAYS TO FRIDAYS,outbound,S12,09:05,09:08,09:11,09:13,09:16,09:19,09:21,09:26,09:30,09:33,09:36,09:40,09:44,09:49,09:53,09:56
9521,MONDAYS TO FRIDAYS,outbound,S12,09:30,09:33,09:36,09:38,09:41,09:44,09:46,09:51,09:55,09:58,10:01,10:05,10:09,10:14,10:18,10:21
