trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,LYNEDOCH,VLOTTENBURG,STELLENBOSCH,DU TOIT,KOELENHOF,MULDERSVLEI
3403,MONDAYS TO FRIDAYS,outbound,S2,04:50,04:53,04:57,04:59,05:02,05:05,05:07,05:10,05:12,05:14,05:17,05:20,05:22,05:27,05:33,05:38,05:42,05:46,05:52,05:55,06:11,06:15,06:22,06:28
3400,SATURDAYS,inbound,S2,06:20,06:15,06:12,06:09,06:07,06:04,06:02,05:59,05:57,05:55,05:53,05:50,05:48,05:44,05:36,05:31,05:27,05:23,05:17,05:13,04:58,04:54,04:49,04:44
3405,MONDAYS TO FRIDAYS,outbound,S2,05:33,05:36,05:40,05:42,05:45,05:48,05:50,05:53,05:55,05:57,06:00,06:03,06:05,06:10,06:16,06:21,06:25,06:29,06:35,06:39,06:45,06:58,07:04,07:10
3404,MONDAYS TO FRIDAYS,inbound,S2,06:41,06:36,06:33,06:30,06:28,06:25,06:23,06:20,06:18,06:16,06:14,06:11,06:09,06:05,05:57,05:52,05:48,05:42,05:36,05:32,05:27,05:23,05:18,05:13
3405,SATURDAYS,outbound,S2,05:42,05:45,05:49,05:51,05:54,05:57,05:59,06:02,06:04,06:06,06:09,06:12,06:14,06:19,06:25,06:30,06:34,06:38,06:44,06:48,06:54,06:57,07:03,07:09
3406,MONDAYS TO FRIDAYS,inbound,S2,07:08,07:03,07:00,06:57,06:55,06:52,06:50,06:47,06:45,06:43,06:41,06:38,06:36,06:32,06:24,06:19,06:15,06:11,06:05,06:01,05:56,05:52,05:47,05:42
3402,SATURDAYS,inbound,S2,07:08,07:03,07:00,06:57,06:55,06:52,06:50,06:47,06:45,06:43,06:41,06:38,06:36,06:32,06:24,06:19,06:15,06:11,06:05,06:01,05:56,05:52,05:47,05:42
3407,MONDAYS TO FRIDAYS,outbound,S2,06:12,06:15,06:19,06:21,06:24,06:27,06:29,06:32,06:34,06:36,06:39,06:42,06:44,06:49,06:55,07:00,07:04,07:08,07:14,07:18,07:24,07:38,07:44,07:50
3407,SATURDAYS,outbound,S2,06:23,06:26,06:30,06:32,06:35,06:38,06:40,06:43,06:45,06:47,06:50,06:53,06:55,07:00,07:06,07:11,07:15,07:19,07:25,07:29,07:35,07:46,07:52,07:58
3400,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,07:56,07:51,07:48,07:45,07:43,07:40,07:38,07:35,07:33,07:31,07:29,07:26,07:24,07:20,07:12,07:07,07:03,06:59,06:53,06:49,06:44,06:40,06:35,06:30
3409,MONDAYS TO FRIDAYS,outbound,S2,06:55,06:58,07:02,07:04,07:07,07:10,07:12,07:15,07:17,07:19,07:22,07:25,07:27,07:32,07:38,07:43,07:47,07:51,07:57,08:01,08:07,08:32,08:38,08:44
3408,MONDAYS TO FRIDAYS,inbound,S2,08:00,07:56,07:53,07:50,07:48,07:45,07:43,07:40,07:38,07:36,07:34,07:31,07:29,07:25,07:17,07:12,07:08,07:04,06:58,06:54,06:49,06:45,06:40,06:35
3404,SATURDAYS,inbound,S2,08:10,08:05,08:02,07:59,07:57,07:54,07:52,07:49,07:47,07:45,07:43,07:40,07:38,07:34,07:26,07:21,07:17,07:13,07:06,07:02,06:49,06:45,06:40,06:35
3410,MONDAYS TO FRIDAYS,inbound,S2,08:44,08:38,08:35,08:32,08:30,08:27,08:25,08:22,08:20,08:18,08:16,08:13,08:11,08:07,07:59,07:54,07:50,07:47,07:40,07:36,07:31,07:27,07:22,07:17
3411,SATURDAYS,outbound,S2,07:46,07:49,07:53,07:55,07:58,08:01,08:03,08:06,08:08,08:10,08:13,08:16,08:18,08:23,08:29,08:34,08:38,08:42,08:48,08:52,08:58,09:01,09:07,09:13
