trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,FAURE,FIRGROVE,SOMERSET WEST,VAN DER STEL,STRAND
3201,MONDAYS TO FRIDAYS,outbound,S3,04:04,04:07,04:11,04:13,04:16,04:19,04:21,04:24,04:26,04:28,04:31,04:34,04:36,04:41,04:47,04:52,04:56,05:00,05:05,05:11,05:24,05:27,05:32
3203,MONDAYS TO FRIDAYS,outbound,S3,05:10,05:13,05:17,05:19,05:22,05:25,05:27,05:30,05:32,05:34,05:37,05:40,05:42,05:47,05:53,05:58,06:02,06:08,06:13,06:19,06:24,06:37,06:42
3202,MONDAYS TO FRIDAYS,inbound,S3,06:22,06:17,06:14,06:11,06:09,06:06,06:04,06:01,05:59,05:57,05:55,05:52,05:50,05:46,05:38,05:33,05:29,05:25,05:20,05:14,05:09,05:05,05:00
3205,MONDAYS TO FRIDAYS,outbound,S3,05:54,05:57,06:01,06:03,06:06,06:09,06:11,06:14,06:16,06:18,06:21,06:24,06:26,06:31,06:37,06:42,06:46,06:50,06:55,07:01,07:14,07:17,07:22
3204,MONDAYS TO FRIDAYS,inbound,S3,07:03,06:58,06:55,06:52,06:50,06:47,06:45,06:42,06:40,06:38,06:36,06:33,06:31,06:27,06:19,06:14,06:10,06:05,06:00,05:54,05:49,05:45,05:40
3206,MONDAYS TO FRIDAYS,inbound,S3,07:30,07:24,07:21,07:18,07:16,07:13,07:11,07:08,07:06,07:04,07:02,06:59,06:57,06:53,06:45,06:40,06:35,06:32,06:27,06:14,06:09,06:05,06:00
3207,MONDAYS TO FRIDAYS,outbound,S3,06:34,06:37,06:41,06:43,06:46,06:49,06:51,06:54,06:56,06:58,07:01,07:04,07:06,07:11,07:17,07:22,07:26,07:30,07:35,07:41,07:54,07:57,08:02
3203,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,06:40,06:43,06:47,06:49,06:52,06:55,06:57,07:00,07:02,07:04,07:07,07:10,07:12,07:17,07:23,07:28,07:32,07:40,07:45,07:51,07:57,08:00,08:05
3206,SATURDAYS,inbound,S3,07:52,07:47,07:44,07:41,07:39,07:36,07:34,07:31,07:29,07:27,07:25,07:22,07:20,07:16,07:08,07:03,06:59,06:55,06:50,06:44,06:39,06:35,06:30
3208,MONDAYS TO FRIDAYS,inbound,S3,08:12,08:07,08:04,08:01,07:59,07:56,07:54,07:51,07:49,07:47,07:45,07:42,07:40,07:36,07:28,07:23,07:19,07:15,07:10,07:04,06:59,06:55,06:50
3209,SATURDAYS,outbound,S3,07:09,07:12,07:16,07:18,07:21,07:24,07:26,07:29,07:31,07:33,07:36,07:39,07:41,07:46,07:52,07:57,08:01,08:05,08:10,08:16,08:29,08:32,08:37
3209,MONDAYS TO FRIDAYS,outbound,S3,07:24,07:27,07:31,07:33,07:36,07:39,07:41,07:44,07:46,07:48,07:51,07:54,07:56,08:01,08:07,08:12,08:16,08:20,08:25,08:31,08:37,08:40,08:45
3208,SATURDAYS,inbound,S3,08:34,08:29,08:26,08:23,08:21,08:18,08:16,08:13,08:11,08:09,08:07,08:04,08:02,07:58,07:50,07:45,07:41,07:37,07:32,07:26,07:21,07:17,07:12
3202,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,08:35,08:30,08:27,08:24,08:22,08:19,08:17,08:14,08:12,08:10,08:08,08:05,08:03,07:59,07:51,07:46,07:42,07:38,07:33,07:27,07:22,07:18,07:13
3210,MONDAYS TO FRIDAYS,inbound,S3,08:52,08:47,08:44,08:41,08:39,08:36,08:34,08:31,08:29,08:27,08:25,08:22,08:20,08:16,08:08,08:03,07:59,07:55,07:50,07:44,07:39,07:35,07:30
3211,SATURDAYS,outbound,S3,08:00,08:03,08:07,08:09,08:12,08:15,08:17,08:20,08:22,08:24,08:27,08:30,08:32,08:37,08:43,08:48,08:52,08:56,09:01,09:15,09:21,09:24,09:29
3210,SATURDAYS,inbound,S3,09:27,09:22,09:19,09:16,09:14,09:11,09:09,09:06,09:04,09:02,09:00,08:57,08:55,08:51,08:43,08:38,08:34,08:30,08:25,08:19,08:14,08:10,08:05
3205,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,08:36,08:39,08:43,08:45,08:48,08:51,08:53,08:56,08:58,09:00,09:03,09:06,09:08,09:13,09:19,09:24,09:28,09:32,09:37,09:43,09:49,09:52,09:57
3204,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,09:44,09:39,09:36,09:33,09:31,09:28,09:26,09:23,09:21,09:19,09:17,09:14,09:12,09:08,09:00,08:55,08:51,08:47,08:42,08:36,08:31,08:27,08:22
3212,MONDAYS TO FRIDAYS,inbound,S3,09:46,09:41,09:38,09:35,09:33,09:30,09:28,09:25,09:23,09:21,09:19,09:16,09:14,09:10,09:02,08:57,08:53,08:50,08:39,08:24,08:19,08:15,08:10
3211,MONDAYS TO FRIDAYS,outbound,S3,08:50,08:53,08:57,08:59,09:02,09:05,09:07,09:10,09:12,09:14,09:17,09:20,09:22,09:27,09:33,09:38,09:42,09:46,09:51,09:57,10:03,10:06,10:11
3212,SATURDAYS,inbound,S3,10:07,10:02,09:59,09:56,09:54,09:51,09:49,09:46,09:44,09:42,09:40,09:37,09:35,09:31,09:23,09:18,09:14,09:10,09:05,08:59,08:54,08:50,08:45
3213,SATURDAYS,outbound,S3,09:12,09:15,09:19,09:21,09:24,09:27,09:29,09:32,09:34,09:36,09:39,09:42,09:44,09:49,09:55,10:00,10:04,10:08,10:13,10:19,10:25,10:28,10:33
3206,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,10:27,10:22,10:19,10:16,10:14,10:11,10:09,10:06,10:04,10:02,10:00,09:57,09:55,09:51,09:43,09:38,09:34,09:30,09:25,09:19,09:14,09:10,09:05
