trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER
2302,MONDAYS TO FRIDAYS,inbound,S4,06:33,06:28,06:25,06:22,06:20,06:17,06:15,06:12,06:10,06:08,06:06,06:03,06:01,05:57,05:49,05:44,05:40,05:37
2306,MONDAYS TO FRIDAYS,inbound,S4,06:57,06:52,06:49,06:46,06:44,06:41,06:39,06:36,06:34,06:32,06:30,06:27,06:25,06:21,06:14,06:09,06:05,06:01
2313,MONDAYS TO FRIDAYS,outbound,S4,07:07,07:10,07:14,07:16,07:19,07:22,07:24,07:27,07:29,07:31,07:34,07:37,07:39,07:44,07:50,07:55,07:59,08:02
2381,MONDAYS TO FRIDAYS,outbound,S4,07:17,07:20,07:24,07:26,07:29,07:32,07:34,07:37,07:39,07:41,07:44,07:47,07:49,07:54,08:00,08:05,08:09,08:12
2315,MONDAYS TO FRIDAYS,outbound,S4,07:50,07:53,07:57,07:59,08:02,08:05,08:07,08:10,08:12,08:14,08:17,08:20,08:22,08:27,08:33,08:38,08:42,08:45
2314,MONDAYS TO FRIDAYS,inbound,S4,09:17,09:12,09:09,09:06,09:04,09:01,08:59,08:56,08:54,08:52,08:50,08:47,08:45,08:41,08:33,08:28,08:24,08:21
2382,MONDAYS TO FRIDAYS,inbound,S4,09:26,09:21,09:18,09:15,09:13,09:10,09:08,09:05,09:03,09:01,08:59,08:56,08:54,08:50,08:42,08:37,08:33,08:30
2319,MONDAYS TO FRIDAYS,outbound,S4,10:40,10:43,10:47,10:49,10:52,10:55,10:57,11:00,11:02,11:04,11:07,11:10,11:12,11:17,11:23,11:28,11:32,11:35
2320,MONDAYS TO FRIDAYS,inbound,S4,12:39,12:34,12:31,12:28,12:26,12:23,12:21,12:18,12:16,12:14,12:12,12:09,12:07,12:03,11:55,11:50,11:46,11:43
2327,MONDAYS TO FRIDAYS,outbound,S4,15:43,15:46,15:50,15:52,15:55,15:58,16:00,16:03,16:05,16:07,16:10,16:13,16:15,16:20,16:26,16:31,16:35,16:38
2329,MONDAYS TO FRIDAYS,outbound,S4,16:00,16:03,16:07,16:09,16:12,16:15,16:17,16:20,16:22,16:24,16:27,16:30,16:32,16:37,16:43,16:48,16:52,16:55
2328,MONDAYS TO FRIDAYS,inbound,S4,17:44,17:39,17:36,17:33,17:31,17:28,17:26,17:23,17:21,17:19,17:17,17:14,17:12,17:08,17:00,16:55,16:51,16:48
2330,MONDAYS TO FRIDAYS,inbound,S4,18:14,18:09,18:06,18:03,18:01,17:58,17:56,17:53,17:51,17:49,17:47,17:44,17:42,17:38,17:30,17:25,17:21,17:18
2311,SATURDAYS,outbound,S4,18:23,18:26,18:30,18:32,18:35,18:38,18:40,18:43,18:45,18:47,18:50,18:53,18:55,19:00,19:06,19:11,19:15,19:18
2337,MONDAYS TO FRIDAYS,outbound,S4,18:32,18:35,18:39,18:41,18:44,18:47,18:49,18:52,18:54,18:56,18:59,19:02,19:04,19:09,19:15,19:20,19:24,19:27
2339,MONDAYS TO FRIDAYS,outbound,S4,19:35,19:38,19:42,19:44,19:47,19:50,19:52,19:55,19:57,19:59,20:02,20:05,20:07,20:12,20:18,20:23,20:27,20:30
2346,MONDAYS TO FRIDAYS,inbound,S4,19:56,19:51,19:48,19:45,19:43,19:40,19:38,19:35,19:33,19:31,19:29,19:26,19:24,19:20,19:13,19:08,19:04,19:00
2301,MONDAYS TO FRIDAYS,outbound,S4,,,,,,,,,,,,,,05:12,05:18,05:23,05:27,05:30
2305,MONDAYS TO FRIDAYS,outbound,S4,,,,,,,,,,,,,,05:34,05:40,05:45,05:49,05:52
2304,MONDAYS TO FRIDAYS,inbound,S4,,,,,,,,,,,,,,06:13,06:06,06:01,05:57,05:53
2307,MONDAYS TO FRIDAYS,outbound,S4,,,,,,,,,,,,,,06:16,06:22,06:27,06:31,06:35
2322,MONDAYS TO FRIDAYS,inbound,S4,,,,,,,,,,,,,,12:29,12:22,12:17,12:13,12:10
2344,MONDAYS TO FRIDAYS,inbound,S4,,,,,,,,,,,,,,16:54,16:48,16:43,16:39,16:35
2312,SATURDAYS,inbound,S4,,,,,,,,,,,,,,19:45,19:39,19:34,19:30,19:26
2336,MONDAYS TO FRIDAYS,inbound,S4,,,,,,,,,,,,,,19:53,19:46,19:41,19:37,19:34
2308,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S4,,,,,,,,,,,,,,20:09,20:03,19:58,19:54,19:50
2338,MONDAYS TO FRIDAYS,inbound,S4,,,,,,,,,,,,,,20:56,20:49,20:44,20:40,20:37
2701,MONDAYS TO FRIDAYS,outbound,E4,07:08,,,,,,07:20,,,,,,,07:33,,,,
2703,MONDAYS TO FRIDAYS,outbound,E4,18:05,,,,,,18:17,,18:22,,,,,18:33,,,,
2381,MONDAYS TO FRIDAYS,outbound,E4,16:15,,,,,,16:27,,16:32,,,,,16:49,16:57,,,
2380,MONDAYS TO FRIDAYS,inbound,E4,07:02,,,,,,06:49,,06:45,,,,,06:38,06:30,,,
0,MONDAYS TO FRIDAYS,inbound,E4,08:20,,,,,,08:06,,08:00,,,,,07:50,,,,
2382,MONDAYS TO FRIDAYS,inbound,E4,17:48,,,,,,,,17:34,,,,,17:18,17:10,,,
